timestamp,symbol,price,volume
2026-07-03T13:30:00.000Z,NQ,20000.00,1
2026-07-03T13:30:00.500Z,NQ,20002.50,2
2026-07-03T13:30:01.000Z,NQ,20005.00,3
2026-07-03T13:30:01.500Z,NQ,20007.50,4
2026-07-03T13:30:02.000Z,NQ,20010.00,5
2026-07-03T13:30:02.500Z,NQ,20012.50,1
2026-07-03T13:30:03.000Z,NQ,20015.00,2
2026-07-03T13:30:03.500Z,NQ,20017.50,3
2026-07-03T13:30:04.000Z,NQ,20015.00,4
2026-07-03T13:30:04.500Z,NQ,20012.50,5
2026-07-03T13:30:05.000Z,NQ,20010.00,1
2026-07-03T13:30:05.500Z,NQ,20007.50,2
2026-07-03T13:30:06.000Z,NQ,20005.00,3
2026-07-03T13:30:06.500Z,NQ,20002.50,4
2026-07-03T13:30:07.000Z,NQ,20000.00,5
2026-07-03T13:30:07.500Z,NQ,19997.50,1
2026-07-03T13:30:08.000Z,NQ,20000.00,2
2026-07-03T13:30:08.500Z,NQ,20002.50,3
2026-07-03T13:30:09.000Z,NQ,20005.00,4
2026-07-03T13:30:09.500Z,NQ,20007.50,5
2026-07-03T13:30:10.000Z,NQ,20010.00,1
2026-07-03T13:30:10.500Z,NQ,20012.50,2
2026-07-03T13:30:11.000Z,NQ,20015.00,3
2026-07-03T13:30:11.500Z,NQ,20017.50,4
2026-07-03T13:30:12.000Z,NQ,20015.00,5
2026-07-03T13:30:12.500Z,NQ,20012.50,1
2026-07-03T13:30:13.000Z,NQ,20010.00,2
2026-07-03T13:30:13.500Z,NQ,20007.50,3
2026-07-03T13:30:14.000Z,NQ,20005.00,4
2026-07-03T13:30:14.500Z,NQ,20002.50,5
2026-07-03T13:30:15.000Z,NQ,20000.00,1
2026-07-03T13:30:15.500Z,NQ,19997.50,2
2026-07-03T13:30:16.000Z,NQ,20000.00,3
2026-07-03T13:30:16.500Z,NQ,20002.50,4
2026-07-03T13:30:17.000Z,NQ,20005.00,5
2026-07-03T13:30:17.500Z,NQ,20007.50,1
2026-07-03T13:30:18.000Z,NQ,20010.00,2
2026-07-03T13:30:18.500Z,NQ,20012.50,3
2026-07-03T13:30:19.000Z,NQ,20015.00,4
2026-07-03T13:30:19.500Z,NQ,20017.50,5
2026-07-03T13:30:20.000Z,NQ,20015.00,1
2026-07-03T13:30:20.500Z,NQ,20012.50,2
2026-07-03T13:30:21.000Z,NQ,20010.00,3
2026-07-03T13:30:21.500Z,NQ,20007.50,4
2026-07-03T13:30:22.000Z,NQ,20005.00,5
2026-07-03T13:30:22.500Z,NQ,20002.50,1
2026-07-03T13:30:23.000Z,NQ,20000.00,2
2026-07-03T13:30:23.500Z,NQ,19997.50,3
2026-07-03T13:30:24.000Z,NQ,20000.00,4
2026-07-03T13:30:24.500Z,NQ,20002.50,5
2026-07-03T13:30:25.000Z,NQ,20005.00,1
2026-07-03T13:30:25.500Z,NQ,20007.50,2
2026-07-03T13:30:26.000Z,NQ,20010.00,3
2026-07-03T13:30:26.500Z,NQ,20012.50,4
2026-07-03T13:30:27.000Z,NQ,20015.00,5
2026-07-03T13:30:27.500Z,NQ,20017.50,1
2026-07-03T13:30:28.000Z,NQ,20015.00,2
2026-07-03T13:30:28.500Z,NQ,20012.50,3
2026-07-03T13:30:29.000Z,NQ,20010.00,4
2026-07-03T13:30:29.500Z,NQ,20007.50,5
2026-07-03T13:30:30.000Z,NQ,20005.00,1
2026-07-03T13:30:30.500Z,NQ,20002.50,2
2026-07-03T13:30:31.000Z,NQ,20000.00,3
2026-07-03T13:30:31.500Z,NQ,19997.50,4
2026-07-03T13:30:32.000Z,NQ,20000.00,5
2026-07-03T13:30:32.500Z,NQ,20002.50,1
2026-07-03T13:30:33.000Z,NQ,20005.00,2
2026-07-03T13:30:33.500Z,NQ,20007.50,3
2026-07-03T13:30:34.000Z,NQ,20010.00,4
2026-07-03T13:30:34.500Z,NQ,20012.50,5
2026-07-03T13:30:35.000Z,NQ,20015.00,1
2026-07-03T13:30:35.500Z,NQ,20017.50,2
2026-07-03T13:30:36.000Z,NQ,20015.00,3
2026-07-03T13:30:36.500Z,NQ,20012.50,4
2026-07-03T13:30:37.000Z,NQ,20010.00,5
2026-07-03T13:30:37.500Z,NQ,20007.50,1
2026-07-03T13:30:38.000Z,NQ,20005.00,2
2026-07-03T13:30:38.500Z,NQ,20002.50,3
2026-07-03T13:30:39.000Z,NQ,20000.00,4
2026-07-03T13:30:39.500Z,NQ,19997.50,5
2026-07-03T13:30:40.000Z,NQ,20000.00,1
2026-07-03T13:30:40.500Z,NQ,20002.50,2
2026-07-03T13:30:41.000Z,NQ,20005.00,3
2026-07-03T13:30:41.500Z,NQ,20007.50,4
2026-07-03T13:30:42.000Z,NQ,20010.00,5
2026-07-03T13:30:42.500Z,NQ,20012.50,1
2026-07-03T13:30:43.000Z,NQ,20015.00,2
2026-07-03T13:30:43.500Z,NQ,20017.50,3
2026-07-03T13:30:44.000Z,NQ,20015.00,4
2026-07-03T13:30:44.500Z,NQ,20012.50,5
2026-07-03T13:30:45.000Z,NQ,20010.00,1
2026-07-03T13:30:45.500Z,NQ,20007.50,2
2026-07-03T13:30:46.000Z,NQ,20005.00,3
2026-07-03T13:30:46.500Z,NQ,20002.50,4
2026-07-03T13:30:47.000Z,NQ,20000.00,5
2026-07-03T13:30:47.500Z,NQ,19997.50,1
2026-07-03T13:30:48.000Z,NQ,20000.00,2
2026-07-03T13:30:48.500Z,NQ,20002.50,3
2026-07-03T13:30:49.000Z,NQ,20005.00,4
2026-07-03T13:30:49.500Z,NQ,20007.50,5
2026-07-03T13:30:50.000Z,NQ,20010.00,1
2026-07-03T13:30:50.500Z,NQ,20012.50,2
2026-07-03T13:30:51.000Z,NQ,20015.00,3
2026-07-03T13:30:51.500Z,NQ,20017.50,4
2026-07-03T13:30:52.000Z,NQ,20015.00,5
2026-07-03T13:30:52.500Z,NQ,20012.50,1
2026-07-03T13:30:53.000Z,NQ,20010.00,2
2026-07-03T13:30:53.500Z,NQ,20007.50,3
2026-07-03T13:30:54.000Z,NQ,20005.00,4
2026-07-03T13:30:54.500Z,NQ,20002.50,5
2026-07-03T13:30:55.000Z,NQ,20000.00,1
2026-07-03T13:30:55.500Z,NQ,19997.50,2
2026-07-03T13:30:56.000Z,NQ,20000.00,3
2026-07-03T13:30:56.500Z,NQ,20002.50,4
2026-07-03T13:30:57.000Z,NQ,20005.00,5
2026-07-03T13:30:57.500Z,NQ,20007.50,1
2026-07-03T13:30:58.000Z,NQ,20010.00,2
